index,sid,form,group,aicc,step,scale,M,V,∆M,∆V,PC1,PC2,PC3
0,0,V + ∆M + ∆V,0,201.4222099173554,0.9839008146434752,0.013794432099656856,,1.0,0.16009244927997526,-0.9988012677651196,-0.6456096814037581,-1.2262605865640754,-0.31640957682004006
1,1,M + ∆M,0,606.6246790123457,0.25314442876563753,0.07238136845793842,-0.0019457871900582266,,0.01173400742639975,,0.04509607928167208,-0.027935122442016416,-0.009270052903031777
2,2,M + ∆M + ∆V,0,266.25260991735536,0.0037773636782297,0.0014951618272489404,0.24306744710575456,,-0.08964811691679299,-1.0,-0.8746328255874591,-0.21180926092490482,-0.4436887150127036
3,3,M + ∆V,0,481.7568790123457,0.3249645889397865,0.4264609871892802,-0.012769520854846316,,,0.16479909364124562,0.2024017703925248,0.011385459675124313,0.024083530341736298
4,4,M + ∆M,0,567.5012790123458,0.9200377216229372,0.24924948801749264,0.01006082218288832,,0.003986600666948209,,0.04671763435754614,-0.025288657755685687,-0.021789457744299242
5,5,M + ∆V,0,459.55347901234563,0.10968921504666404,0.17799130647131514,-0.011534379406520608,,,0.3510355775724639,0.3779046234684982,0.05292429041608459,0.06511715296270566
6,6,V + ∆M + ∆V,0,366.82460991735536,0.16522784020780584,0.8615831200010413,,0.0620891026368082,-0.778189816722391,0.9652695234265776,1.1189082635015681,0.34007780876565236,-0.4322215518084081
7,7,M + V + ∆M + ∆V,0,344.619910373444,0.6195669733265025,0.4930519415414446,0.0024601532730604307,-0.0164231183430223,0.02425539810948274,0.08774180780443139,0.12094267586867985,0.003850306607856974,0.02123005047486892
8,8,∆V,0,586.2109016393442,1.0,0.377026905659456,,,,-0.01893195542108669,0.02946965362461741,-0.02892304725870475,-0.02383542433736986
9,9,∆V,0,644.9607016393443,0.8057973150407957,0.03436987262210347,,,,0.016416272567175497,0.0627770926705812,-0.021050110087550165,-0.015922476253471
10,11,M + V + ∆M + ∆V,0,662.6535103734442,0.4909683822795442,0.6964233659135611,0.003518032421033409,0.0333053065278925,-0.039106500102497006,0.11747947648002788,0.17459391084012393,-0.019107207021503567,-0.03280107376780894
11,12,M + ∆M + ∆V,0,400.74780991735537,0.07094540505657054,0.0,-0.9808554297494944,,0.9886187290053464,-0.04148572440959706,-0.19043857004515763,-0.34518844769229307,1.275567950176355
12,13,M + ∆M,0,655.0340790123457,0.5068055249154041,0.8142756614989376,-0.0009712504881069686,,0.036709029673612316,,0.04046358999671889,-0.03456158305505871,0.009990783799820664
13,14,M + ∆M + ∆V,0,268.4946099173553,0.07567832385642873,0.2059366599645928,0.02215480063777232,,-0.2824638071887707,0.9999974943650116,1.042462527480927,0.2745550548732099,-0.031217979592010094
14,16,M + V + ∆V,0,232.4488099173554,0.21970573113037645,0.40193201916896987,0.1460521710274897,0.3480781593373464,,1.0,1.0885323584203246,-0.120882535366535,0.0569858619625683
15,17,M + V + ∆V,0,593.1330099173554,0.6784714023625193,0.9865405370626474,0.0017130355694077687,-0.003725347196445317,,1.0,0.9885647636781323,0.20158901341879457,0.20409391333732815
16,18,M + ∆V,0,410.4040790123457,0.6582451782733394,0.7120931534674283,0.010070734905207738,,,0.15066059985826072,0.18942195408220472,0.009332919966726224,0.008774508768694868
17,20,M + V + ∆M,0,444.48380991735536,0.2637883932039617,0.0,0.1256664582565379,1.0,0.39959846935889065,,0.2528460202746267,-1.061765027585812,0.030040017071699204
18,21,M + V + ∆M + ∆V,0,203.602910373444,0.13863162524419714,0.10599000109185218,0.1908651833159106,0.11715693313995106,0.7312387252208119,-0.9999999532361324,-0.9955872533151187,-0.5433498733827185,0.2107365678965607
19,22,M + V + ∆V,0,297.47720991735537,0.6727798982211114,0.027695135533958613,-0.0023024861422859463,-0.3280938026752162,,-0.3697436696762991,-0.3923351590212714,0.2000326028181333,-0.03552117743561062
20,25,M + V + ∆M,0,599.7520099173554,0.04141108447861447,0.0,-0.9933002469127004,-0.07105695413467815,0.96098114468207,,-0.16614633191596476,-0.2626292448699827,1.2837960651206297
21,26,V + ∆M,0,529.5524790123458,0.8756831107475819,0.0012487124691297222,,-0.8273319988658724,-0.8418101876504056,,-0.026059770166122962,0.9748698873861084,-0.5207959479295493
22,27,M + ∆V,0,565.1788790123458,0.9530087565363008,0.5143043325399461,0.0024634357683431664,,,-0.010601829600371466,0.037355779700641745,-0.026949460827579153,-0.02328046076549869
23,30,M + V + ∆V,0,220.9832099173554,0.20499225633093726,0.8025003053795459,0.002891207608850884,-0.3720751269246991,,-1.0,-0.9983536148360614,0.10108862078614644,-0.17057326287983232
24,32,M + ∆M,0,245.21427901234568,0.08392945082874602,0.1839489843269464,0.031786804100544894,,0.035451024717424916,,0.04118875665698945,-0.03265288197275851,-0.008422746705557682
25,33,M + ∆V,0,496.3836790123457,0.33880544067053875,0.961082186676524,-0.002344705195037255,,,-1.0,-0.8949927158139218,-0.247544072027268,-0.2422077032929793
26,34,M + ∆V,0,441.7584790123457,0.35531257571287417,0.032489579260266216,0.034188113512624976,,,-0.11578929257053305,-0.06128320904177636,-0.04885438917697957,-0.06369522243697943
27,35,M + V + ∆M + ∆V,0,428.819310373444,0.6584665806269611,0.016898816737287988,-0.003699795262570968,-0.9976323691751748,-0.05198176073330469,-0.9075771501983466,-1.0756023896148512,0.7209681446394757,-0.06242934432547402
28,37,V + ∆M,0,580.5770790123457,0.17846295745376653,0.9657479190177676,,0.01129811206691399,0.32237174032024624,,-0.009534119815898679,-0.12142174051037133,0.2334454983895768
29,39,M + ∆M + ∆V,0,204.6902099173554,0.5293787824660672,0.5365936108766487,-0.03797422204752835,,0.03252516504709927,0.2207185243277344,0.24866295025887417,0.013939538841548249,0.07576100197259614
30,41,M + V + ∆V,0,619.7712099173552,0.014950318674304975,0.7943499235318782,0.05688607196901276,-0.06884845076343815,,-1.0,-0.9132450954858484,-0.1802364962967691,-0.25993003236975304
31,42,M + V,0,559.2567016393443,0.9975430042675276,,0.001976801321228851,1.0,,,0.325344968908097,-0.9609314141327026,-0.2206573415739128
32,43,M + V,0,644.9295016393443,0.1812501245412204,,0.009234997424921496,0.028929244021060268,,,0.055489565110963555,-0.05135012175300044,-0.030293670656755294
33,45,M + V + ∆V,0,527.6280099173554,0.3300688490738595,0.9707297998423036,-0.015400515806230343,-0.024782570172305764,,1.0,0.9824541572940954,0.22048376569212175,0.217404713672131
34,46,M,0,378.4038653061224,8.49726893862446e-05,,1.0,,,,0.062300017466527566,0.023299059214687626,-0.5512911066093027
35,47,V,0,652.1438653061224,0.9986648832653192,,,1.0,,,0.3253153338434858,-0.9610263114389676,-0.2196062887001964
36,48,M + V + ∆M + ∆V,0,298.57311037344397,0.4147761224961274,0.3321420004392229,0.020301700356562247,-0.10845306254144628,-0.04368951365577276,-0.04530434254388898,-0.01709718338801202,0.07939820680910034,-0.05344172552341962
37,49,∆V,0,430.08050163934433,0.3001163742045493,0.2747123749162336,,,,-0.0507576435420309,-0.0005186153074546433,-0.036011426429738626,-0.03095982723301184
38,50,M + ∆V,0,472.97567901234567,0.400328074609738,0.7884868643535831,0.00697762752725519,,,0.2011361804017565,0.23693701544912296,0.020426611939196294,0.021718406340815496
39,51,M + V + ∆V,0,143.92100991735538,0.2347756790909516,0.17202087103528876,0.004874592634026507,-0.07205694565743112,,0.1324642361045746,0.15216592221245903,0.07249904104287307,0.021875913265651123
40,52,V + ∆M,0,575.8222790123457,0.067156585930019,0.8555383877613101,,-0.16459754732647744,-0.999920349449548,,0.18760440991878183,0.39658495622496054,-0.7785642340735
41,53,M + ∆M + ∆V,0,254.4112099173554,0.3691399033966036,0.8596773247096132,0.003953310258432859,,0.3210244304939027,-0.2077208907475224,-0.20809347766725947,-0.1565579697502769,0.18603649365496686
42,54,M + V,0,143.01510163934427,0.01897445191748131,,-0.05661942425885282,-0.9999997781145324,,,-0.23154688877419635,0.9088952090960922,0.21051568997318487
43,55,M + ∆M,0,589.8070790123458,0.06898456553195492,0.0,-0.9095884698621972,,0.9045364980758068,,-0.13463441346028357,-0.31006083583305394,1.1803736239768132
44,56,M + V,0,501.9853016393442,0.01346013748815703,,0.039423253449303385,0.07912357819944398,,,0.06989649319937441,-0.09689887311591758,-0.05638389151105263
45,57,M + V,0,588.0153016393442,0.035930903272848695,,-0.09056654778314327,-0.1576181663578011,,,0.0021319606584601393,0.11852690660729932,0.06008133061277722
46,58,M + ∆M,0,541.3202790123456,1.0,0.04043620302551812,0.014962352744258691,,0.0222219151886432,,0.04339807279382584,-0.029925773408365892,-0.009954096776264866
47,59,M + ∆M + ∆V,0,512.7650099173555,0.5530501640482134,0.8322131343628921,0.030032933802207968,,0.1148507881253633,0.3775570885581904,0.38214782849882584,0.030139002835177404,0.13990928570198666
48,60,M + ∆M + ∆V,0,43.024209917355364,0.6057366414826626,0.161869075335461,0.07463212197168324,,0.7113898800758405,-1.0,-1.0262069414205928,-0.4339297959755437,0.28025006768003347
49,61,∆V,0,492.0949016393442,0.10530607645096283,0.9121017739939452,,,,1.0,0.9895747544642425,0.1980186616545595,0.2042596209630605
50,62,M + V,0,604.1559016393443,0.9979647839744712,,0.0017160227627317224,1.0,,,0.3253410594664413,-0.9609439329338928,-0.22051868724868118
51,63,M,0,273.64126530612253,0.9106023808778384,,0.9406594760041204,,,,0.06141041857573602,0.020450388577384404,-0.5197401218927731
52,64,V + ∆M + ∆V,0,230.65300991735538,0.12098258936917705,0.11831181172203893,,0.13082733175172967,-0.09706261528679233,0.4432086230152801,0.5193603892771324,-0.022554167546877738,-0.023417483156496513
53,65,M + V + ∆M + ∆V,0,348.25631037344397,0.434342807744489,0.07079031089957634,0.08206553699861369,0.9521494692394884,0.10167084722403152,0.9999918314612436,1.2365834253028443,-0.7167261595456234,0.050703999047998834
54,66,M + ∆V,0,286.8822790123457,0.5923927179711814,0.20245852218471846,-0.00288787260143807,,,0.06775947014556574,0.11111275697056816,-0.009753325640084153,-0.002893478583854832
55,67,M + ∆V,0,494.81607901234565,1.0,0.21710326053888016,0.013148096129767736,,,0.048148126177128936,0.09287405318782886,-0.013351449484045569,-0.015809839181422234
56,68,M + V + ∆M + ∆V,0,235.34891037344397,0.9646757502306924,0.3893671445930037,0.0002209728592524667,1.0,-0.09948281055016532,0.14455661847501233,0.48004020928554236,-0.9022378385777431,-0.2661492714121539
57,69,M + V + ∆M + ∆V,0,260.15711037344397,0.26613729409764303,0.927025495472298,0.0077489171835181956,-0.06669849782932702,0.18938789412645413,-1.0,-0.9486234095298253,-0.23521221472719347,-0.08424820853193907
58,72,M + V + ∆M + ∆V,0,457.10711037344396,0.09849816582362277,0.8107351234810449,0.01199464730872436,-0.041363831102607586,0.4502059598439922,-1.0,-0.9900469337546107,-0.32841947712269914,0.11498231036508183
59,73,M + ∆M + ∆V,0,381.53620991735534,0.0012765609739846988,0.12138334471687914,0.2868752259477805,,-0.3242548263815301,1.0,1.0542094735347387,0.2984300681008406,-0.20506404575380752
60,74,M + ∆M + ∆V,0,370.83680991735537,0.4679577780037861,0.01784764863603968,0.004521327166349364,,-0.03516156969705927,0.010144556950554308,0.06347775687697235,-0.01283487433135556,-0.04757664233081878
61,75,M + ∆M + ∆V,0,523.7494099173554,0.8869103958816112,0.10622369071237166,0.0008423245792199338,,0.023098677959638284,-0.020827836661781063,0.02339788868070607,-0.035476762077803044,-0.006414670132539733
62,77,M + V,0,631.6339016393442,0.9986960969938856,,0.002486999615243102,1.0,,,0.3253526175064894,-0.9609069218161287,-0.22092861080938436
63,78,M + V,0,431.05050163934425,0.06285861745540103,,-0.012323184526388349,-0.022799641740213903,,,0.04078539843088399,-0.003950248335671858,-0.00848508210459146
64,79,M + V + ∆M,0,489.68260991735536,0.005091641160775099,0.00013688265677528862,-0.06188902098220452,-1.0,-0.004827743319241675,,-0.23072765167316747,0.9099324044258675,0.20949421015846661
65,80,M + V + ∆M,0,621.4934099173554,0.4692463743666212,0.4529927289255497,0.001434910051905442,0.009214932620229694,0.003317497937493319,,0.04927463288474303,-0.03415209146190523,-0.019576079518669333
66,81,∆M + ∆V,0,261.83367901234567,0.5549579025755168,0.6162972091737297,,,0.8846894801924419,-1.0,-1.0595716160365003,-0.48381762979410464,0.45717627635831304
67,83,M + V,0,557.4997016393444,0.02095717379117807,,-0.06016052309601561,-0.3031232742033208,,,-0.037863610347917936,0.2562258885039775,0.07301695659182533
68,85,M + ∆M + ∆V,0,314.11840991735534,0.06752881553334211,1.0870135671599e-07,0.007783654510787071,,0.07213065123026538,-0.2735593361262305,-0.22376176296069364,-0.10453436732797954,-0.027850129508094824
69,88,M + V + ∆V,0,425.42060991735536,0.036938859578322235,0.7715266826145343,-0.01033334256284668,-0.3427125703261697,,-1.0,-0.9903888810434298,0.07296102420515488,-0.16941462551999942
70,89,M + V + ∆V,0,414.71000991735536,0.7413309460842232,0.009790799045997122,0.004746888159731471,0.9649168198172716,,0.9324580396233932,1.1942567921939864,-0.720267557062973,-0.00637597618850989
71,90,M + ∆M + ∆V,0,311.4234099173553,0.02959299037164984,0.9376522113631014,0.019614337157068548,,0.2918562792211314,-0.9998644694386756,-0.9488414706553607,-0.3244427684321513,-0.022717001195431772
72,91,M + ∆M + ∆V,0,203.6142099173554,0.9901981890201844,0.8490745193878987,0.015910398060396787,,-0.8343430319027861,1.0,1.1450593679063543,0.4217161592784881,-0.4649585668143584
73,92,V + ∆M + ∆V,0,96.91760991735536,0.09402059486339932,0.1079078907822602,,-1.0,-0.11655604931559205,-0.7798433579194919,-0.9438305827514143,0.7690661723025406,-0.08646851918049853
74,93,M,0,243.57726530612243,0.0006062715863857106,,1.0,,,,0.062300017466527566,0.023299059214687626,-0.5512911066093027
75,94,V + ∆M + ∆V,0,501.9882099173553,0.4407619572085412,0.7872003568345248,,0.20300745688731686,-0.3067078090877909,1.0,1.1030812757304118,0.08989005966981496,-0.07924121075023252
76,95,M + V + ∆M + ∆V,0,463.40531037344397,0.14060772684884715,0.6099865553537193,0.0004229358182849293,-0.21830538758029414,0.2479607418153472,-1.0,-1.0017796152531553,-0.10926182841235944,-0.003643480213283929
77,97,M + ∆M,0,202.2928790123457,0.014553322409599459,0.0,-0.2875726246078602,,0.9294703990039784,,-0.12994895840731152,-0.28686291971440003,0.8693981229744314
78,98,M + V + ∆M + ∆V,0,327.05571037344396,0.5531755487149796,0.1955240330836816,0.004014863076987953,0.2998569381652416,-0.05580482041007637,0.3963195582681768,0.5145531362732461,-0.202094531846364,-0.03718188552448107
