index,sid,form,group,aicc,step,scale,M,V,∆M,∆V,PC1,PC2,PC3
79,99,M + ∆M + ∆V,0,624.9964099173553,0.0025516481074339004,0.0,0.5177469694161984,,-0.4989305231381652,-1.0,-0.7943598673057637,-0.08926422574715656,-0.9138656723241116
80,100,M + V + ∆M,0,643.0438099173554,0.2529365213565079,0.8799078734253338,0.00403170047424053,0.011046064967926927,0.1657307047865914,,0.019602426396121947,-0.07913823107154075,0.10730026851950904
81,101,M + V,0,641.6931016393443,0.3025478015794397,,-0.006458924998124146,-0.012347407068405413,,,0.04377910370486155,-0.013455366884834766,-0.013693612260059771
82,102,V,0,494.86886530612253,0.9930299757856283,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
83,103,M + V,0,477.77590163934417,0.3909378743560736,,0.0035626571688132454,-0.0059468861502646785,,,0.04570872943150726,-0.018967210985886298,-0.02030218593643077
84,104,V + ∆M + ∆V,0,275.5744099173553,0.15982205950282954,0.5679828200012278,,-0.05523347344099865,0.6048428474573341,-0.9999811032914928,-1.0228380634452636,-0.3573231225509398,0.2466028963229731
85,108,M + V + ∆M + ∆V,0,518.3863103734442,0.0238869335735153,0.4478488213843214,0.019303178307288345,-0.4663210062007489,0.06651795146669037,-1.0,-1.0366855517710956,0.17234739866552123,-0.10777043615544847
86,109,V + ∆M + ∆V,0,288.83820991735536,0.005909367243543965,0.3752156448413741,,-1.0,-0.2226318739227476,1.0,0.7529930975384591,1.1938250510117476,0.22795501936093154
87,110,M + ∆M + ∆V,0,134.27800991735538,0.4272937186304681,0.011704124920301248,0.032304436462880025,,0.09581917619204587,-0.2008878832962182,-0.15932603135821746,-0.09350097548831121,-0.00585951351490653
88,111,M,0,570.5396653061224,0.4099130883364879,,0.003310680920288329,,,,0.047358226376535556,-0.024547494987854655,-0.021357641990827365
89,112,M + V,0,658.1577016393443,0.07526112719052147,,0.006056461693206899,0.022566784445310253,,,0.053673107697096704,-0.04554541148038741,-0.027331114491837092
90,113,M + V + ∆V,0,588.4768099173554,0.9978519378277464,0.1482564251418164,0.003228394005403944,0.9720975601141376,,0.01496088674799267,0.3317038030373887,-0.9314135566869001,-0.2123929696878421
91,114,M + V + ∆V,0,371.99200991735535,0.01620844815361266,3.800892595307442e-09,-0.04040395043848339,-1.0,,1.0,0.7109623024713352,1.1323989360236895,0.4257510632025988
92,115,M + ∆M + ∆V,0,616.1150099173552,0.4840195382724283,0.15237502663297198,-0.2255940309579321,,-0.4077370242233807,0.999880303062888,1.0619475649488332,0.2961082417591474,0.0012720483609368156
93,116,M + ∆M + ∆V,0,632.1564099173553,0.040769508431689166,0.8131817089931879,0.018317468437936163,,-0.2846810497947247,0.06115651069991461,0.1581794739997839,0.06585984158215279,-0.24109976248824755
94,117,M + V + ∆V,0,472.86560991735536,0.2711935535975142,0.008543207279929833,0.003956083322207398,-0.9792093203726676,,-0.9905900507814284,-1.1582583715475487,0.6717073909819496,-0.04760071637621927
95,118,V + ∆V,0,197.7504790123457,0.7058702476795559,0.008399855402706437,,-0.9875499912787096,,-1.0,-1.1695031183028155,0.6772311815488782,-0.045935566080510894
96,119,M + V + ∆V,0,533.4564099173554,0.7581441794990946,0.9876911534119904,0.000705632141571912,0.028958660345066174,,-1.0,-0.8868962841803112,-0.27451220864551495,-0.24962153877378712
97,123,V + ∆M + ∆V,0,647.6540099173553,0.9823315243986052,8.158071850510586e-05,,0.9999999813554664,0.9999999922335177,1.0,1.0815116266572107,-1.005497912157757,0.7962016200946774
98,124,M + ∆M + ∆V,0,316.6856099173553,0.013939696312148515,0.6888917486348229,0.22265663912243064,,-0.564771458017865,-1.0,-0.786532677487057,-0.08583769915109474,-0.8091107817880759
99,125,V,0,311.03426530612245,0.0021206976272191693,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
100,126,V,0,456.5738653061225,0.0012167259405907298,,,-1.0,,,-0.23069814472599212,0.9116134597764367,0.180411541312542
101,127,V + ∆V,0,358.11367901234576,0.060159527105820676,0.9679358363337206,,-0.01730987956633797,,1.0,0.9847624912885934,0.2142262461099962,0.20772175119401468
102,128,M + V + ∆M,0,469.5428099173553,0.0194873583104376,0.8686911083892711,0.06910934470321363,-0.055326143398390384,-0.8978325653872976,,0.2000231840046884,0.2703120756109036,-0.7563159803213372
103,129,M + V + ∆M,0,428.81540991735534,0.25210440550770624,0.4635087747514666,-0.022059963972335155,-0.05259460124979981,0.023798583703305117,,0.027928031494386656,0.017121042709614075,0.021498470206422163
104,130,M + ∆M,0,576.3190790123457,0.8803840642462263,0.006146495920369306,0.0015027148552429455,,-0.010596435118476195,,0.04930279962718141,-0.021802954698347782,-0.02878821426906029
105,132,M + V + ∆V,0,217.70120991735538,0.04596694494864023,0.10142582503240444,-0.010196405305102749,0.7556732400095472,,0.9995998695553964,1.199127119882465,-0.5101118224586579,0.05845002892959294
106,133,M + V + ∆M,0,326.11240991735536,0.03153818382320154,0.0,0.5522599528835833,0.3386220976674122,-0.9999464511585217,,0.33578688181768795,-0.04807112301093095,-1.1728664764393606
107,134,∆M + ∆V,0,677.4908790123458,0.09405150156785952,0.9878542295404784,,,1.0,-0.2994768413750579,-0.42094816209792946,-0.3586041392635443,0.7053135571862007
108,135,M + V + ∆M + ∆V,0,593.3183103734441,0.0035035137460987004,0.0,0.5525228032406242,-1.0,-0.7517585249567973,1.0,0.8597307242026713,1.3617300753124877,-0.4848602286775186
109,137,M + ∆V,0,608.8792790123457,0.9793848602142584,0.08745927891888136,0.004364391870003867,,,0.055263759888945815,0.09944719381550164,-0.012188285326554242,-0.009546714296916258
110,140,M + ∆V,0,157.98987901234568,1.0,0.2602659511357585,0.05086424108581032,,,-0.07113493848429259,-0.018956923412960548,-0.0381081986636597,-0.06256562545285073
111,141,M + V + ∆V,0,389.2432099173553,0.415073029004909,0.3571218981136349,0.002488812249288234,-0.046223448622958366,,-0.09159722846716624,-0.05181349356019346,-0.0017080157888169118,-0.03218023804580664
112,142,M + V + ∆M + ∆V,0,418.287710373444,0.963140207843004,0.5572899795670767,0.0025632466062738336,-1.0,0.6852061865318475,-0.7353572065653377,-1.0510581506982575,0.5648691743451043,0.5570834923512639
113,143,M + ∆M,0,606.5182790123457,0.02235308028098917,0.005552613304167335,-0.9515103617250328,,1.0,,-0.15302576302858178,-0.33758085000916643,1.2782656389990958
114,145,V + ∆M + ∆V,0,404.19380991735534,0.01894582068483471,0.0,,0.7744859979355867,-0.03264004351879785,0.9860322492681552,1.197799070964787,-0.5215376356723699,0.02037942574613467
115,146,M + V + ∆M + ∆V,0,400.140310373444,0.13034067330781407,0.6788510231162002,0.014186747864547941,-0.01906685522144496,0.6325175826879831,-1.0,-1.017738060237839,-0.3979044115848066,0.2537390470944795
116,147,M + V + ∆M,0,279.81600991735536,0.9958911980586904,0.24344104763796684,-0.003332813114809785,-1.0,0.036798492526177534,,-0.23759519881283223,0.9016210304136119,0.21132617704278223
117,148,M + V,0,604.9745016393442,0.9992826778450641,,0.0008469775104585697,-1.0,,,-0.23068544732793947,0.9116541193426493,0.1799612086783108
118,149,V + ∆V,0,650.6354790123457,0.986082528072188,0.9864223418428498,,1.0,,-0.9999999471605592,-0.616950776273193,-1.1837513871561236,-0.44346327152860576
119,152,∆M + ∆V,0,220.8320790123457,0.867801411953627,0.02046537977490136,,,-0.1981517572612482,-1.0,-0.8580874949498781,-0.19448601614457575,-0.40038083413165304
120,153,M + ∆M + ∆V,0,322.1952099173553,0.9994915900887268,0.0034028199750902647,-0.9777150092721204,,0.06638481407106256,-1.0,-0.9219671178169871,-0.3121050003374306,0.32896408900588314
121,154,V + ∆M + ∆V,0,561.2694099173553,0.9896904736613588,0.8701299689319785,,-1.0,-0.7653398886298829,1.0,0.8539747036759048,1.3388348458039996,-0.2018430903106175
122,155,M + ∆M + ∆V,0,643.2550099173553,0.017410517278634862,0.9572342227390443,0.017237318308286308,,-0.996724168566008,0.43875513909396696,0.6464514563864572,0.34016425309735077,-0.7199005598357133
123,156,M + V + ∆M + ∆V,0,579.7605103734439,0.14568762753008524,0.8884068104560577,-0.006395270837201013,0.016232093600131052,-0.5674202187731864,1.0,1.0995713142392307,0.3341260359127979,-0.24495557937361243
124,157,M + ∆V,0,352.55447901234567,0.58285995027267,0.951860559936312,0.0068243302690303405,,,1.0,0.9896770608853679,0.1983462669392381,0.2006311673276717
125,158,M + V + ∆M + ∆V,0,291.869710373444,0.4888714152504466,0.3577679799886996,0.03607092086512055,0.4322885176451995,-0.2396704819068955,0.6368757319520889,0.812730374310682,-0.22184779234625718,-0.17247578413597323
126,159,M + ∆M + ∆V,0,408.7876099173553,0.4814581066447162,0.14603448756289222,0.04623561882835262,,0.2157400842325432,-0.2962367775227268,-0.27127488649815057,-0.14611126494712617,0.06036032026119511
127,160,V + ∆V,0,559.0498790123456,0.31418205183500564,0.03003112170050597,,-0.8744527367175247,,-0.9997476690452144,-1.137823556420413,0.5713921735295843,-0.06849953920629542
128,161,M + ∆V,0,469.01847901234567,0.6189354966230514,0.6548729989411565,0.02245336372268606,,,0.2779546147067049,0.3095524298577143,0.038278924662794915,0.03068639823120505
129,162,M + ∆V,0,580.1900790123457,0.2116801171864265,0.8342900671048995,-0.01131199097505307,,,0.12841480627860655,0.1681399381052615,0.0033517355180195676,0.015163693617380217
130,163,M + V + ∆M + ∆V,0,327.984710373444,0.30817638586627466,0.13009447210554914,0.018005943371490574,0.7039163026622888,-0.07080349890075724,1.0,1.198712562574109,-0.4412893244837873,-0.0021764580836516646
131,164,∆M + ∆V,0,633.6976790123457,0.7477780683080256,0.983747142228135,,,-0.6341039040311088,0.9999998504780208,1.107562240349777,0.3674491038725802,-0.2979195804999288
132,166,M,0,373.9798653061225,0.00031569023143246063,,1.0,,,,0.062300017466527566,0.023299059214687626,-0.5512911066093027
133,168,M + V,0,614.8891016393443,0.1807896070435956,,0.015816907257812537,-0.0803653687315383,,,0.025203598392071133,0.051300565331107405,-0.011933333952829679
134,169,M + V + ∆M,0,526.3416099173553,0.002892562433962168,0.0,0.2246956271682833,1.0,-0.1796324148216426,,0.36210801989562996,-0.9022424990258523,-0.4813356010408965
135,170,M + V + ∆V,0,342.5392099173553,0.5236107010387557,0.6705134934620876,0.011189712695440971,0.008292233912506834,,0.1976183873984952,0.23599076020607976,0.012081130867950825,0.017032863777030283
136,171,M + ∆M + ∆V,0,567.7624099173554,0.8047855681360905,0.1951999235510003,0.006771916646687055,,0.019490401948059014,-0.024180476916613302,0.020999093669011266,-0.034974706757645135,-0.013175486539739933
137,172,M + V + ∆M + ∆V,0,461.873910373444,0.00039821647735433397,5.614627214205267e-07,-1.0,-1.0,0.9999984497352608,1.0,0.5105070173756978,0.8191367687049025,1.7279119577109099
138,173,V + ∆V,0,689.6312790123458,0.10111192818497934,0.7408889358933565,,0.011731389769135752,,0.4141927527498333,0.4408498145700145,0.05656035773427929,0.07077618860617219
139,174,M + V + ∆V,0,241.5602099173554,0.026870471007083167,0.12028993462387096,0.05955183528969784,-0.8473915290983991,,-1.0,-1.1296453545011416,0.5488568410117171,-0.105631845637303
140,175,M + V + ∆M + ∆V,0,284.784710373444,0.021235878487536542,0.4438085864639512,0.016270639730568952,-0.6716960448722246,-0.005485196072963859,-1.0,-1.0804290428471868,0.38373755686507877,-0.12210417443451367
141,176,V + ∆M + ∆V,0,119.48280991735537,0.17563664640416202,0.010497355444050123,,-1.0,-0.047927251305331715,-0.9245117714636912,-1.0929164843092163,0.7185074983551814,-0.06450291597167444
142,178,M + ∆M + ∆V,0,600.9340099173553,0.04134797716581209,0.0,-0.19093173197149998,,0.3965242008189434,-0.4832047033972394,-0.4846423879629095,-0.2474439670698163,0.28777878318015737
143,179,M + V + ∆V,0,317.2196099173553,0.3287525183067025,0.2421278267378032,0.0070238933177110465,0.09903158685152068,,0.17608714409779008,0.2408662983384668,-0.07787545992369341,-0.0037207951136071144
144,180,M + V + ∆M + ∆V,0,459.746710373444,0.9708022799937368,0.9739596247733456,-0.001304637384195354,1.0,0.07003137386285241,-1.0,-0.6300011125979017,-1.2025261812096861,-0.38730820511756725
145,181,M + V,0,425.44670163934427,0.05532522649097393,,0.05564901362593574,0.0970512372875051,,,0.07512375047826282,-0.11290597133494631,-0.06859671815156473
146,182,M + ∆M + ∆V,0,78.91300991735538,1.0,0.06918706950563933,0.032226715454405946,,0.2183010047921142,-0.6794490816380973,-0.6330493962590095,-0.2328190326505883,-0.015947864940278562
147,183,∆M,0,292.76190163934433,0.3068364207022844,0.9493912176757492,,,1.0,,-0.13876126879482636,-0.29190313356830594,0.7723535428657586
148,184,M + ∆V,0,162.0296790123457,0.9911258072602068,0.029340219844713775,-1.0,,,0.10090550368918637,0.1273970131255055,-0.050237723740243295,0.534684762021849
149,185,V + ∆M + ∆V,0,224.7766099173554,0.7995044020804344,0.005709923991444072,,0.9562715233825828,0.030100267629380607,1.0,1.2498239298659795,-0.7054000741414977,0.03683472565759913
150,186,M + ∆M + ∆V,0,290.53040991735537,0.3914375274015688,0.4359812311190429,0.006044023419373555,,0.21645359433758005,-0.2584725250056378,-0.23642620122903166,-0.1398202830848024,0.09074879671162149
151,187,M + V + ∆M,0,346.83060991735533,0.2781926972938277,0.13850081346315216,0.01520293303920796,-0.034822718184619225,-0.012236601263124836,,0.04013242054678066,0.011898181421972638,-0.030406611416935365
152,188,M + ∆M + ∆V,0,412.40700991735537,0.005125624430633771,0.0,-0.05909903936951213,,0.23757684872720425,-1.0,-0.9400494358180244,-0.31374834318222367,-0.0238825763937729
153,190,M + V,0,676.9999016393441,7.598306122324046e-05,,0.9996196619626532,-0.9999110381626376,,,-0.2156876916362513,0.9595173897730429,-0.3510977614126547
154,191,M + V + ∆M + ∆V,0,441.339510373444,0.024295796689601832,0.3532271543620907,0.02464751004984099,-0.466978558590334,0.09820696238690199,-1.0,-1.0426846065612545,0.16475243589194266,-0.08538432626645587
155,192,M + V,0,197.24890163934424,0.03679227049172864,,-0.061831602620105924,-0.316999790111648,,,-0.041746427148082965,0.2691385253087916,0.07668088599288067
156,194,M + V + ∆V,0,460.18860991735534,0.4569300361717724,0.7670291580843115,0.0400779466066092,0.08733043605901973,,0.42300128507513374,0.4707676662975206,-0.01033869024064592,0.03631836391704085
157,196,M + ∆V,0,101.0854790123457,0.09317196530277218,0.9404542250209826,0.016451022065978673,,,1.0,0.9898213786932988,0.1988084009483385,0.19551271563052544
158,197,∆M + ∆V,0,31.45267901234568,0.9328259448571,0.015055112016808815,,,0.012964154035743872,-1.0,-0.8973698037166745,-0.2508954925940371,-0.23318739467968794
